id,sub_id,mainprocess,subprocess,question,answer,example,examplelink,template,templatelink,inputs,inputslink,confirm_button
1,,재고자산,1,"회사의 재고자산 생산은 크게 몇가지 종류로 이루어져 있나요? 포도, 오렌지, 딸기, 바나나 음료를 제조하는 업체를 예를들자면, 제품이 4개라도, 포도, 오렌지의 제조공정이 유사하고, 딸기, 바나나가 유사하다면 두 개로 구분짓고, 아래의 그림처럼 입력을 하시면 됩니다.",,photo,photolink,,,textplus,,그렇다면 생산 종류별로 아래를 작성 부탁 드립니다.
2,1,재고자산,2,해당 재고자산 생산 프로세스를 크게 몇가지 공정으로 나누어져 있나요? 아래의 예시에서 선택하여 주세요,,,,html,htmllink,,,다음질문 작성 부탁 드립니다.
3,2,재고자산,3,"혹시 재고자산 생산과정에서 어떤 의사결정을 위해서든 의사결정을 위한 의사결정기구 같은게 있나요?(이사회, 운영위원회 등)",,,,,,select,decision,다음질문 작성 부탁 드립니다.
4,3,재고자산,4,"혹시 재고자산 생산과정에서, 사용하고 있는 시스템이 있나요? 회사 인트라넷, SAP, 메일 등을 의미하며, 여러 개를 사용하는 경우 여러 개를 추가해주시면 됩니다. ",,,,,,selectplus,system,재고자산에 대한 프로세스가 확정되었습니다. 상세질문서를 작성 부탁 드립니다.
5,,구매,1,"회사의 구매방식은 크게 몇가지 종류로 이루어져 있나요? 포도, 오렌지, 딸기, 바나나를 구매하는 업체로 예를들자면, 물품이 4개더라도, 포도, 오렌지의 구매방식이 유사하고, 딸기, 바나나가 유사하다면 두 개로 구분짓고, 아래의 그림처럼 입력을 하시면 됩니다.",,photo,photolink,,,textplus,,그렇다면 구매 유형별로 아래를 작성 부탁 드립니다.
6,5,구매,2,해당 구매 프로세스는 어떤 팀에서 담당을 하고 있나요? ,,,,,,select,team,
7,6,구매,3,"혹시 구매과정에서 어떤 의사결정을 위해서든 의사결정을 위한 의사결정기구 같은게 있나요?(이사회, 운영위원회 등)",,,,,,select,decision,
8,7,구매,4,"혹시 구매과정에서, 사용하고 있는 시스템이 있나요? 회사 인트라넷, SAP, 메일 등을 의미하며, 여러 개를 사용하는 경우 여러 개를 추가해주시면 됩니다. ",,,,,,selectplus,system,
